time,rate,requested_rate
2025-09-19T10:06:28.676477390+00:00,49,
2025-09-19T10:06:28.676488134+00:00,0,
2025-09-19T10:06:28.676490410+00:00,0,
2025-09-19T10:06:28.676492428+00:00,0,
2025-09-19T10:06:28.676495475+00:00,0,
2025-09-19T10:06:28.676499083+00:00,0,
2025-09-19T10:06:28.676500990+00:00,0,
2025-09-19T10:06:28.676503076+00:00,0,
2025-09-19T10:06:28.676507265+00:00,0,
2025-09-19T10:06:28.676509396+00:00,0,
2025-09-19T10:06:28.676511340+00:00,0,
2025-09-19T10:06:28.676515109+00:00,0,
2025-09-19T10:06:28.676518854+00:00,0,
2025-09-19T10:06:28.676520940+00:00,0,
2025-09-19T10:06:28.676524803+00:00,0,
2025-09-19T10:06:28.676526898+00:00,0,
2025-09-19T10:06:28.676528839+00:00,0,
2025-09-19T10:06:28.676530773+00:00,0,
2025-09-19T10:06:28.676532694+00:00,0,
2025-09-19T10:06:29.429936648+00:00,57803,
2025-09-19T10:06:30.429697901+00:00,58966,
2025-09-19T10:06:31.430225155+00:00,56960,
2025-09-19T10:06:32.430291368+00:00,51849,
2025-09-19T10:06:33.429515442+00:00,60517,
2025-09-19T10:06:34.429723775+00:00,30874,
2025-09-19T10:06:35.429360371+00:00,33256,
2025-09-19T10:06:36.429523529+00:00,27671,
2025-09-19T10:06:37.430066842+00:00,30433,
2025-09-19T10:06:38.429418655+00:00,31276,
2025-09-19T10:06:39.430388323+00:00,30540,
2025-09-19T10:06:40.429505273+00:00,28601,
2025-09-19T10:06:41.430336625+00:00,27453,
2025-09-19T10:06:42.429823796+00:00,26230,
2025-09-19T10:06:43.429717060+00:00,19705,
2025-09-19T10:06:44.429643548+00:00,21255,
2025-09-19T10:06:45.430150436+00:00,21630,
2025-09-19T10:06:46.430106477+00:00,25498,
2025-09-19T10:06:47.430095663+00:00,49034,
2025-09-19T10:06:48.429468187+00:00,47162,
2025-09-19T10:06:49.429588882+00:00,43693,
2025-09-19T10:06:50.429778588+00:00,50593,
2025-09-19T10:06:51.430376647+00:00,47888,
2025-09-19T10:06:52.429397150+00:00,41064,
