time,rate,requested_rate
2025-09-19T10:27:56.022998764+00:00,224,
2025-09-19T10:27:57.023801329+00:00,9255,
2025-09-19T10:27:58.023082591+00:00,0,
2025-09-19T10:27:59.023931734+00:00,7960,
2025-09-19T10:28:00.023271703+00:00,0,
2025-09-19T10:28:01.023576722+00:00,0,
2025-09-19T10:28:02.023842823+00:00,0,
2025-09-19T10:28:03.023105898+00:00,0,
2025-09-19T10:28:04.023495798+00:00,4771,
2025-09-19T10:28:05.023763411+00:00,0,
2025-09-19T10:28:06.024050202+00:00,0,
2025-09-19T10:28:07.023889084+00:00,2642,
2025-09-19T10:28:08.023317582+00:00,2513,
2025-09-19T10:28:09.023212061+00:00,5163,
2025-09-19T10:28:10.023148988+00:00,4896,
2025-09-19T10:28:11.023448761+00:00,4779,
2025-09-19T10:28:12.023216926+00:00,5153,
2025-09-19T10:28:13.023424669+00:00,5313,
2025-09-19T10:28:14.023338326+00:00,4900,
2025-09-19T10:28:15.024009564+00:00,5176,
2025-09-19T10:28:16.023836807+00:00,4887,
2025-09-19T10:28:17.023931547+00:00,5130,
2025-09-19T10:28:18.023528186+00:00,7934,
2025-09-19T10:28:19.023405618+00:00,5276,
2025-09-19T10:28:20.023171834+00:00,2236,
2025-09-19T10:28:21.023537306+00:00,0,
2025-09-19T10:28:22.023212559+00:00,2641,
2025-09-19T10:28:23.023994471+00:00,2373,
2025-09-19T10:28:24.023254697+00:00,2383,
2025-09-19T10:28:25.023573792+00:00,2508,
2025-09-19T10:28:26.023667047+00:00,2766,
2025-09-19T10:28:27.023575194+00:00,5292,
2025-09-19T10:28:28.023102146+00:00,4891,
2025-09-19T10:28:29.023415732+00:00,5146,
2025-09-19T10:28:30.023446710+00:00,4746,
2025-09-19T10:28:31.023232407+00:00,2765,
2025-09-19T10:28:32.023518958+00:00,5290,
2025-09-19T10:28:33.023205853+00:00,7511,
2025-09-19T10:28:34.023285860+00:00,2377,
2025-09-19T10:28:35.023460055+00:00,2763,
2025-09-19T10:28:36.023578711+00:00,5295,
2025-09-19T10:28:37.023106306+00:00,5403,
2025-09-19T10:28:38.023768305+00:00,5133,
2025-09-19T10:28:39.023254602+00:00,5149,
2025-09-19T10:28:40.023168360+00:00,5005,
2025-09-19T10:28:41.023393112+00:00,2379,
2025-09-19T10:28:42.023018449+00:00,2503,
2025-09-19T10:28:43.023092207+00:00,7798,
2025-09-19T10:28:44.023179894+00:00,4878,
2025-09-19T10:28:45.023406967+00:00,5419,
2025-09-19T10:28:46.023882315+00:00,2639,
2025-09-19T10:28:47.023214653+00:00,2492,
2025-09-19T10:28:48.024021500+00:00,7514,
2025-09-19T10:28:49.023871678+00:00,5134,
2025-09-19T10:28:50.023619852+00:00,2612,
2025-09-19T10:28:51.023997404+00:00,5535,
2025-09-19T10:28:52.023081713+00:00,5256,
2025-09-19T10:28:53.023285802+00:00,7499,
2025-09-19T10:28:54.023270060+00:00,2756,
2025-09-19T10:28:55.023414754+00:00,5268,
2025-09-19T10:28:56.023911323+00:00,5139,
2025-09-19T10:28:57.023905203+00:00,5509,
2025-09-19T10:28:58.023095625+00:00,8011,
2025-09-19T10:28:59.023305510+00:00,7891,
2025-09-19T10:29:00.023183965+00:00,2625,
2025-09-19T10:29:01.023657168+00:00,6954,
2025-09-19T10:29:02.023091509+00:00,2500,
2025-09-19T10:29:03.023720100+00:00,2759,
2025-09-19T10:29:04.023224088+00:00,5389,
2025-09-19T10:29:05.023856540+00:00,2753,
2025-09-19T10:29:06.023588630+00:00,2495,
2025-09-19T10:29:07.023836535+00:00,2633,
2025-09-19T10:29:08.023080470+00:00,0,
2025-09-19T10:29:09.023295550+00:00,2763,
2025-09-19T10:29:10.023674835+00:00,0,
2025-09-19T10:29:11.023855339+00:00,5139,
2025-09-19T10:29:12.023448566+00:00,4863,
2025-09-19T10:29:13.023314635+00:00,5384,
2025-09-19T10:29:14.023448103+00:00,2644,
2025-09-19T10:29:15.023980401+00:00,2764,
2025-09-19T10:29:16.023754853+00:00,5265,
2025-09-19T10:29:17.023328397+00:00,4864,
2025-09-19T10:29:18.023912025+00:00,4722,
2025-09-19T10:29:19.023854535+00:00,2361,
2025-09-19T10:29:20.023306988+00:00,5516,
2025-09-19T10:29:21.023581140+00:00,0,
2025-09-19T10:29:22.023508322+00:00,2627,
2025-09-19T10:29:23.023866879+00:00,5252,
2025-09-19T10:29:24.023408244+00:00,2373,
2025-09-19T10:29:25.023614518+00:00,7635,
2025-09-19T10:29:26.023484800+00:00,7215,
2025-09-19T10:29:27.023323378+00:00,5003,
2025-09-19T10:29:28.023073874+00:00,2625,
2025-09-19T10:29:29.023745523+00:00,5263,
2025-09-19T10:29:30.023351523+00:00,2767,
2025-09-19T10:29:31.023603393+00:00,2624,
2025-09-19T10:29:32.023264408+00:00,4858,
2025-09-19T10:29:33.023802709+00:00,2491,
2025-09-19T10:29:34.023790717+00:00,7501,
2025-09-19T10:29:35.023640079+00:00,5129,
2025-09-19T10:29:36.023903650+00:00,0,
2025-09-19T10:29:37.023292321+00:00,8263,
2025-09-19T10:29:38.023155409+00:00,2500,
2025-09-19T10:29:39.023838890+00:00,5511,
2025-09-19T10:29:40.023214861+00:00,2627,
2025-09-19T10:29:41.023527250+00:00,5259,
2025-09-19T10:29:42.024035402+00:00,4873,
2025-09-19T10:29:43.023800608+00:00,5249,
2025-09-19T10:29:44.023791046+00:00,2497,
2025-09-19T10:29:45.023161605+00:00,4873,
2025-09-19T10:29:46.023430148+00:00,0,
2025-09-19T10:29:47.023176940+00:00,2616,
2025-09-19T10:29:48.024083829+00:00,4724,
2025-09-19T10:29:49.023982840+00:00,2497,
2025-09-19T10:29:50.023163339+00:00,4859,
2025-09-19T10:29:51.023539177+00:00,7369,
2025-09-19T10:29:52.023119188+00:00,5261,
2025-09-19T10:29:53.023897694+00:00,2631,
2025-09-19T10:29:54.023650062+00:00,2760,
2025-09-19T10:29:55.023150930+00:00,4867,
2025-09-19T10:29:56.023943569+00:00,2485,
2025-09-19T10:29:57.023160402+00:00,2622,
2025-09-19T10:29:58.023324126+00:00,5268,
2025-09-19T10:29:59.023358946+00:00,2364,
2025-09-19T10:30:00.023500416+00:00,2504,
2025-09-19T10:30:01.023778987+00:00,7485,
2025-09-19T10:30:02.023418391+00:00,5118,
2025-09-19T10:30:03.023885084+00:00,7625,
2025-09-19T10:30:04.023791599+00:00,2508,
2025-09-19T10:30:05.024025768+00:00,2369,
2025-09-19T10:30:06.023933640+00:00,4997,
2025-09-19T10:30:07.023193458+00:00,0,
2025-09-19T10:30:08.023163154+00:00,2626,
2025-09-19T10:30:09.023937420+00:00,2768,
2025-09-19T10:30:10.023087913+00:00,2500,
2025-09-19T10:30:11.023265563+00:00,5121,
2025-09-19T10:30:12.023594786+00:00,5509,
2025-09-19T10:30:13.023289691+00:00,2756,
2025-09-19T10:30:14.023560736+00:00,0,
2025-09-19T10:30:15.023169734+00:00,2903,
2025-09-19T10:30:16.024041458+00:00,2770,
2025-09-19T10:30:17.023311039+00:00,0,
2025-09-19T10:30:18.023311124+00:00,2644,
2025-09-19T10:30:19.023564857+00:00,0,
2025-09-19T10:30:20.023278020+00:00,2622,
2025-09-19T10:30:21.023178140+00:00,5380,
2025-09-19T10:30:22.023402679+00:00,0,
2025-09-19T10:30:23.023662494+00:00,0,
2025-09-19T10:30:24.023576417+00:00,2498,
2025-09-19T10:30:25.023834822+00:00,5129,
2025-09-19T10:30:26.023627480+00:00,2229,
2025-09-19T10:30:27.023258976+00:00,2376,
2025-09-19T10:30:28.023956421+00:00,2495,
