time,rate,requested_rate
2025-09-19T10:14:43.073040245+00:00,305,
2025-09-19T10:14:44.072310241+00:00,69815,
2025-09-19T10:14:45.072838439+00:00,55964,
2025-09-19T10:14:46.073058878+00:00,55548,
2025-09-19T10:14:47.073048336+00:00,59099,
2025-09-19T10:14:48.072497747+00:00,40723,
2025-09-19T10:14:49.072938612+00:00,31163,
2025-09-19T10:14:50.072878460+00:00,28264,
2025-09-19T10:14:51.072413151+00:00,29720,
2025-09-19T10:14:52.072643758+00:00,30616,
2025-09-19T10:14:53.073194859+00:00,24689,
2025-09-19T10:14:54.073225659+00:00,29307,
2025-09-19T10:14:55.073309026+00:00,30747,
2025-09-19T10:14:56.073304271+00:00,27212,
2025-09-19T10:14:57.072817165+00:00,19735,
2025-09-19T10:14:58.072697725+00:00,21428,
2025-09-19T10:14:59.073093052+00:00,20638,
2025-09-19T10:15:00.072806949+00:00,19621,
2025-09-19T10:15:01.072539059+00:00,5406,
