time,rate,requested_rate
2025-09-19T10:12:33.564222509+00:00,16,
2025-09-19T10:12:33.564238589+00:00,0,
2025-09-19T10:12:33.564245653+00:00,0,
2025-09-19T10:12:33.564252278+00:00,0,
2025-09-19T10:12:33.564256712+00:00,0,
2025-09-19T10:12:33.564263285+00:00,0,
2025-09-19T10:12:33.564267735+00:00,0,
2025-09-19T10:12:33.564274539+00:00,0,
2025-09-19T10:12:33.564279735+00:00,0,
2025-09-19T10:12:33.564286689+00:00,0,
2025-09-19T10:12:33.564291919+00:00,0,
2025-09-19T10:12:33.564298569+00:00,0,
2025-09-19T10:12:33.564305875+00:00,0,
2025-09-19T10:12:33.564312782+00:00,0,
2025-09-19T10:12:33.564319379+00:00,0,
2025-09-19T10:12:33.564325692+00:00,0,
2025-09-19T10:12:33.564332284+00:00,0,
2025-09-19T10:12:33.564338933+00:00,0,
2025-09-19T10:12:33.564345338+00:00,0,
2025-09-19T10:12:33.564352352+00:00,0,
2025-09-19T10:12:33.564358837+00:00,0,
2025-09-19T10:12:33.564365054+00:00,0,
2025-09-19T10:12:33.564371721+00:00,0,
2025-09-19T10:12:33.564378401+00:00,0,
2025-09-19T10:12:33.564382818+00:00,0,
2025-09-19T10:12:33.564393848+00:00,0,
2025-09-19T10:12:33.564400911+00:00,0,
2025-09-19T10:12:33.564407387+00:00,0,
2025-09-19T10:12:33.564414117+00:00,0,
2025-09-19T10:12:33.564420733+00:00,0,
2025-09-19T10:12:33.564427658+00:00,0,
2025-09-19T10:12:33.564434173+00:00,0,
2025-09-19T10:12:33.564441147+00:00,0,
2025-09-19T10:12:33.564447391+00:00,0,
2025-09-19T10:12:33.564453621+00:00,0,
2025-09-19T10:12:33.564460261+00:00,0,
2025-09-19T10:12:33.564464961+00:00,0,
2025-09-19T10:12:33.564471530+00:00,0,
2025-09-19T10:12:33.564478353+00:00,0,
2025-09-19T10:12:33.564489623+00:00,0,
2025-09-19T10:12:33.564496831+00:00,0,
2025-09-19T10:12:33.564503026+00:00,0,
2025-09-19T10:12:33.564519340+00:00,0,
2025-09-19T10:12:33.564539261+00:00,0,
2025-09-19T10:12:33.564544798+00:00,0,
2025-09-19T10:12:33.564548256+00:00,0,
2025-09-19T10:12:33.564552198+00:00,0,
2025-09-19T10:12:33.564554224+00:00,0,
2025-09-19T10:12:33.564557972+00:00,0,
2025-09-19T10:12:33.564561554+00:00,0,
2025-09-19T10:12:33.564567970+00:00,0,
2025-09-19T10:12:33.564570081+00:00,0,
2025-09-19T10:12:33.564572078+00:00,0,
2025-09-19T10:12:33.564574059+00:00,0,
2025-09-19T10:12:33.564577984+00:00,0,
2025-09-19T10:12:33.564579995+00:00,0,
2025-09-19T10:12:34.069763878+00:00,31672,
2025-09-19T10:12:35.070080410+00:00,53578,
2025-09-19T10:12:36.069621829+00:00,45275,
2025-09-19T10:12:37.069713883+00:00,57009,
2025-09-19T10:12:38.069725032+00:00,48014,
2025-09-19T10:12:39.070007834+00:00,54287,
2025-09-19T10:12:40.069869806+00:00,26698,
2025-09-19T10:12:41.070166563+00:00,26541,
2025-09-19T10:12:42.070270331+00:00,26823,
2025-09-19T10:12:43.070175658+00:00,29971,
2025-09-19T10:12:44.070317202+00:00,29562,
2025-09-19T10:12:45.069431309+00:00,27318,
2025-09-19T10:12:46.069467453+00:00,24844,
2025-09-19T10:12:47.070099156+00:00,29961,
2025-09-19T10:12:48.070240950+00:00,24203,
2025-09-19T10:12:49.070156922+00:00,16693,
2025-09-19T10:12:50.069952689+00:00,19456,
2025-09-19T10:12:51.070076847+00:00,18569,
2025-09-19T10:12:52.069888291+00:00,9510,
