time,rate,requested_rate
2025-09-18T17:46:33.640002017+00:00,236,
2025-09-18T17:46:33.640018973+00:00,0,
2025-09-18T17:46:33.640026313+00:00,0,
2025-09-18T17:46:33.640031502+00:00,0,
2025-09-18T17:46:33.640038093+00:00,0,
2025-09-18T17:46:33.640045622+00:00,0,
2025-09-18T17:46:33.640052436+00:00,0,
2025-09-18T17:46:33.640059773+00:00,0,
2025-09-18T17:46:33.640065879+00:00,0,
2025-09-18T17:46:33.640073496+00:00,0,
2025-09-18T17:46:33.640080426+00:00,0,
2025-09-18T17:46:33.640086398+00:00,0,
2025-09-18T17:46:33.640094012+00:00,0,
2025-09-18T17:46:33.640101122+00:00,0,
2025-09-18T17:46:33.640105961+00:00,0,
2025-09-18T17:46:33.640113126+00:00,0,
2025-09-18T17:46:33.640117458+00:00,0,
2025-09-18T17:46:33.640124485+00:00,0,
2025-09-18T17:46:33.640128588+00:00,0,
2025-09-18T17:46:33.640132838+00:00,0,
2025-09-18T17:46:33.640153073+00:00,0,
2025-09-18T17:46:33.640155013+00:00,0,
2025-09-18T17:46:33.640157135+00:00,0,
2025-09-18T17:46:33.640159298+00:00,0,
2025-09-18T17:46:34.552889061+00:00,137499,
2025-09-18T17:46:35.553167478+00:00,33781,
2025-09-18T17:46:36.553190010+00:00,35093,
2025-09-18T17:46:37.553370048+00:00,60853,
2025-09-18T17:46:38.553555199+00:00,32010,
2025-09-18T17:46:39.553461721+00:00,64251,
2025-09-18T17:46:40.553394371+00:00,59151,
2025-09-18T17:46:41.553232774+00:00,64232,
2025-09-18T17:46:42.553529366+00:00,60826,
2025-09-18T17:46:43.553158537+00:00,52068,
