time,rate,requested_rate
2025-09-19T10:27:55.999665417+00:00,888,
2025-09-19T10:27:56.999416547+00:00,22343,
2025-09-19T10:27:57.999693328+00:00,0,
2025-09-19T10:27:58.998996727+00:00,0,
2025-09-19T10:27:59.999276218+00:00,0,
2025-09-19T10:28:00.999535358+00:00,0,
2025-09-19T10:28:01.999228033+00:00,0,
2025-09-19T10:28:02.999504374+00:00,0,
2025-09-19T10:28:03.998913082+00:00,0,
2025-09-19T10:28:04.999337839+00:00,8314,
2025-09-19T10:28:05.999598840+00:00,0,
2025-09-19T10:28:06.999013858+00:00,2369,
2025-09-19T10:28:07.999084969+00:00,2810,
2025-09-19T10:28:08.999518052+00:00,2758,
2025-09-19T10:28:09.999698138+00:00,5511,
2025-09-19T10:28:10.999637149+00:00,2769,
2025-09-19T10:28:11.999391921+00:00,5569,
2025-09-19T10:28:12.999416472+00:00,5554,
2025-09-19T10:28:13.999480340+00:00,4728,
2025-09-19T10:28:14.999297732+00:00,5937,
2025-09-19T10:28:15.999562444+00:00,5510,
2025-09-19T10:28:16.999445231+00:00,5575,
2025-09-19T10:28:17.999482217+00:00,5527,
2025-09-19T10:28:18.999447576+00:00,7899,
2025-09-19T10:28:19.999466554+00:00,2805,
2025-09-19T10:28:20.999704754+00:00,0,
2025-09-19T10:28:21.999349446+00:00,2757,
2025-09-19T10:28:22.999640323+00:00,0,
2025-09-19T10:28:23.999207703+00:00,2756,
2025-09-19T10:28:24.999143617+00:00,2810,
2025-09-19T10:28:25.998858577+00:00,2767,
2025-09-19T10:28:26.999252684+00:00,5113,
2025-09-19T10:28:27.999417895+00:00,5565,
2025-09-19T10:28:28.998919572+00:00,5119,
2025-09-19T10:28:29.999162350+00:00,2759,
2025-09-19T10:28:30.998898819+00:00,2801,
2025-09-19T10:28:31.999527230+00:00,5504,
2025-09-19T10:28:32.999243741+00:00,7927,
2025-09-19T10:28:33.999242375+00:00,2752,
2025-09-19T10:28:34.999711237+00:00,2808,
2025-09-19T10:28:35.999490031+00:00,5122,
2025-09-19T10:28:36.999406765+00:00,5522,
2025-09-19T10:28:37.999579984+00:00,5562,
2025-09-19T10:28:38.999373574+00:00,5558,
2025-09-19T10:28:39.999012534+00:00,2767,
2025-09-19T10:28:40.999601626+00:00,3165,
2025-09-19T10:28:41.998814972+00:00,2755,
2025-09-19T10:28:42.999161354+00:00,7531,
2025-09-19T10:28:43.999323537+00:00,5112,
2025-09-19T10:28:44.999516331+00:00,5963,
2025-09-19T10:28:45.999157073+00:00,2355,
2025-09-19T10:28:46.999068328+00:00,5113,
2025-09-19T10:28:47.999318256+00:00,5185,
2025-09-19T10:28:48.999339497+00:00,5510,
2025-09-19T10:28:49.999307520+00:00,2811,
2025-09-19T10:28:50.999696170+00:00,4727,
2025-09-19T10:28:51.999107422+00:00,7542,
2025-09-19T10:28:52.999342949+00:00,5505,
2025-09-19T10:28:53.998886034+00:00,2754,
2025-09-19T10:28:54.999560642+00:00,5569,
2025-09-19T10:28:55.999609305+00:00,5506,
2025-09-19T10:28:56.999411180+00:00,5560,
2025-09-19T10:28:57.999268112+00:00,7922,
2025-09-19T10:28:58.999462728+00:00,5515,
2025-09-19T10:28:59.999475874+00:00,5568,
2025-09-19T10:29:00.998990439+00:00,5532,
2025-09-19T10:29:01.999765444+00:00,2759,
2025-09-19T10:29:02.999505773+00:00,2807,
2025-09-19T10:29:03.999044499+00:00,5112,
2025-09-19T10:29:04.999385740+00:00,2754,
2025-09-19T10:29:05.999593130+00:00,2810,
2025-09-19T10:29:06.998891550+00:00,2763,
2025-09-19T10:29:07.999174790+00:00,0,
2025-09-19T10:29:08.998819930+00:00,2753,
2025-09-19T10:29:09.999066444+00:00,0,
2025-09-19T10:29:10.999244550+00:00,2759,
2025-09-19T10:29:11.999633953+00:00,5573,
2025-09-19T10:29:12.998945071+00:00,7882,
2025-09-19T10:29:13.999614186+00:00,2815,
2025-09-19T10:29:14.999277032+00:00,2753,
2025-09-19T10:29:15.999165583+00:00,5520,
2025-09-19T10:29:16.999335708+00:00,2364,
2025-09-19T10:29:17.999023353+00:00,5170,
2025-09-19T10:29:18.999019090+00:00,4719,
2025-09-19T10:29:19.999194669+00:00,2374,
2025-09-19T10:29:20.998994241+00:00,2412,
2025-09-19T10:29:21.999247115+00:00,2364,
2025-09-19T10:29:22.999013762+00:00,2368,
2025-09-19T10:29:23.999223200+00:00,4772,
2025-09-19T10:29:24.999618333+00:00,7095,
2025-09-19T10:29:25.998970845+00:00,7541,
2025-09-19T10:29:26.999331435+00:00,4723,
2025-09-19T10:29:27.999483090+00:00,2800,
2025-09-19T10:29:28.999391380+00:00,5913,
2025-09-19T10:29:29.999571537+00:00,2761,
2025-09-19T10:29:30.999016713+00:00,3201,
2025-09-19T10:29:31.999294609+00:00,5117,
2025-09-19T10:29:32.999337368+00:00,2371,
