time,rate,requested_rate
2025-09-19T10:22:56.741831281+00:00,49,
2025-09-19T10:22:56.741863217+00:00,0,
2025-09-19T10:22:56.741866484+00:00,0,
2025-09-19T10:22:56.741871356+00:00,0,
2025-09-19T10:22:56.741874138+00:00,0,
2025-09-19T10:22:56.741879093+00:00,0,
2025-09-19T10:22:56.741881456+00:00,0,
2025-09-19T10:22:56.741886906+00:00,0,
2025-09-19T10:22:56.741889918+00:00,0,
2025-09-19T10:22:56.741892991+00:00,0,
2025-09-19T10:22:56.741896132+00:00,0,
2025-09-19T10:22:56.741901577+00:00,0,
2025-09-19T10:22:56.741906647+00:00,0,
2025-09-19T10:22:56.741909151+00:00,0,
2025-09-19T10:22:56.741912851+00:00,0,
2025-09-19T10:22:56.741918222+00:00,0,
2025-09-19T10:22:56.741921164+00:00,0,
2025-09-19T10:22:56.741926335+00:00,0,
2025-09-19T10:22:56.741929417+00:00,0,
2025-09-19T10:22:56.741935126+00:00,0,
2025-09-19T10:22:56.741938225+00:00,0,
2025-09-19T10:22:56.741943390+00:00,0,
2025-09-19T10:22:56.741946360+00:00,0,
2025-09-19T10:22:56.741951809+00:00,0,
2025-09-19T10:22:56.741980226+00:00,0,
2025-09-19T10:22:56.741986219+00:00,0,
2025-09-19T10:22:56.741989527+00:00,0,
2025-09-19T10:22:57.371890946+00:00,3540,
2025-09-19T10:22:58.372169617+00:00,24063,
2025-09-19T10:22:59.372422776+00:00,0,
2025-09-19T10:23:00.372656847+00:00,5574,
2025-09-19T10:23:01.371937836+00:00,0,
2025-09-19T10:23:02.372563681+00:00,6354,
2025-09-19T10:23:03.372085721+00:00,5512,
2025-09-19T10:23:04.372696541+00:00,11086,
2025-09-19T10:23:05.371860205+00:00,6348,
2025-09-19T10:23:06.372081814+00:00,0,
2025-09-19T10:23:07.372475489+00:00,17368,
2025-09-19T10:23:08.372714277+00:00,5581,
2025-09-19T10:23:09.371956618+00:00,0,
2025-09-19T10:23:10.372157940+00:00,5528,
2025-09-19T10:23:11.372251958+00:00,11081,
2025-09-19T10:23:12.371906327+00:00,25708,
2025-09-19T10:23:13.372237271+00:00,18981,
2025-09-19T10:23:14.372666244+00:00,22556,
2025-09-19T10:23:15.372154174+00:00,11885,
2025-09-19T10:23:16.372989870+00:00,6348,
2025-09-19T10:23:17.372182175+00:00,27666,
2025-09-19T10:23:18.371933099+00:00,24128,
2025-09-19T10:23:19.372546604+00:00,24507,
2025-09-19T10:23:20.372637381+00:00,24540,
2025-09-19T10:23:21.372626707+00:00,16643,
2025-09-19T10:23:22.372087909+00:00,34428,
2025-09-19T10:23:23.371780407+00:00,19020,
2025-09-19T10:23:24.372454766+00:00,48637,
2025-09-19T10:23:25.372378562+00:00,19315,
2025-09-19T10:23:26.372583482+00:00,25868,
2025-09-19T10:23:27.372559079+00:00,49469,
2025-09-19T10:23:28.372310816+00:00,25906,
2025-09-19T10:23:29.372237033+00:00,18540,
2025-09-19T10:23:30.372174628+00:00,34371,
2025-09-19T10:23:31.372396207+00:00,34755,
2025-09-19T10:23:32.371948665+00:00,32851,
2025-09-19T10:23:33.372359462+00:00,30866,
2025-09-19T10:23:34.371912028+00:00,10816,
2025-09-19T10:23:35.372078381+00:00,25908,
2025-09-19T10:23:36.371875325+00:00,12357,
2025-09-19T10:23:37.372640447+00:00,28595,
2025-09-19T10:23:38.371870205+00:00,23612,
2025-09-19T10:23:39.371879061+00:00,31667,
2025-09-19T10:23:40.372037916+00:00,37831,
2025-09-19T10:23:41.371879508+00:00,26291,
2025-09-19T10:23:42.372718318+00:00,17779,
2025-09-19T10:23:43.371905378+00:00,26072,
