time,rate,requested_rate
2025-09-19T10:26:13.745599695+00:00,839,
2025-09-19T10:26:14.745429278+00:00,4233,
2025-09-19T10:26:15.744800716+00:00,22630,
2025-09-19T10:26:16.745077697+00:00,0,
2025-09-19T10:26:17.745718322+00:00,7148,
2025-09-19T10:26:18.744993486+00:00,0,
2025-09-19T10:26:19.745763856+00:00,6751,
2025-09-19T10:26:20.745216205+00:00,6706,
2025-09-19T10:26:21.745463972+00:00,6740,
2025-09-19T10:26:22.745417415+00:00,7086,
2025-09-19T10:26:23.745479433+00:00,14262,
2025-09-19T10:26:24.745595265+00:00,7104,
2025-09-19T10:26:25.745196868+00:00,21397,
2025-09-19T10:26:26.745728814+00:00,22552,
2025-09-19T10:26:27.744819594+00:00,13814,
2025-09-19T10:26:28.745564655+00:00,14676,
2025-09-19T10:26:29.745161260+00:00,15020,
2025-09-19T10:26:30.745096791+00:00,7160,
2025-09-19T10:26:31.745520736+00:00,13428,
2025-09-19T10:26:32.745280863+00:00,13825,
2025-09-19T10:26:33.744839712+00:00,30886,
2025-09-19T10:26:34.745365636+00:00,31199,
2025-09-19T10:26:35.745492814+00:00,38817,
2025-09-19T10:26:36.745395534+00:00,23364,
2025-09-19T10:26:37.745338325+00:00,22163,
2025-09-19T10:26:38.745020539+00:00,29695,
2025-09-19T10:26:39.745094881+00:00,37267,
2025-09-19T10:26:40.745599693+00:00,35520,
2025-09-19T10:26:41.745715929+00:00,21252,
2025-09-19T10:26:42.745334210+00:00,15082,
2025-09-19T10:26:43.745685874+00:00,30543,
2025-09-19T10:26:44.744813869+00:00,28587,
2025-09-19T10:26:45.745008496+00:00,37447,
2025-09-19T10:26:46.745543166+00:00,29758,
2025-09-19T10:26:47.745267387+00:00,32455,
2025-09-19T10:26:48.745026760+00:00,13524,
2025-09-19T10:26:49.744821642+00:00,32432,
2025-09-19T10:26:50.745095437+00:00,30524,
2025-09-19T10:26:51.745343279+00:00,14288,
2025-09-19T10:26:52.745137249+00:00,28887,
2025-09-19T10:26:53.745685668+00:00,43398,
2025-09-19T10:26:54.745748737+00:00,26233,
2025-09-19T10:26:55.745569067+00:00,55665,
2025-09-19T10:26:56.745022134+00:00,25090,
2025-09-19T10:26:57.744876204+00:00,553,
